# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.14408     0.61232     0.14408   -1.238291368   -1.840432647   -0.602141279
     1       2     0.15308     0.61232     0.15308   -1.171271758   -1.773411522   -0.602139764
     1       2     0.15014     0.60055     0.15014   -1.181748508   -1.784752406   -0.603003898
     1       2     0.14719     0.58877     0.14719   -1.165716981   -1.771183388   -0.605466408
     1       2     0.14425     0.57700     0.14425   -1.123564547   -1.732547073   -0.608982526
     1       2     0.14131     0.56522     0.14131   -1.058918497   -1.671757518   -0.612839021
     1       2     0.13836     0.55345     0.13836   -0.977068108   -1.593513304   -0.616445195
     1       2     0.13542     0.54167     0.13542   -0.882176728   -1.501551994   -0.619375266
     1       2     0.13247     0.52990     0.13247   -0.777435239   -1.398847117   -0.621411878
     1       2     0.12953     0.51812     0.12953   -0.665037645   -1.287702997   -0.622665353
     1       2     0.12659     0.50634     0.12659   -0.546480247   -1.169982945   -0.623502698
     1       2     0.12364     0.49457     0.12364   -0.422714063   -1.046871369   -0.624157306
     1       2     0.12070     0.48279     0.12070   -0.294601238   -0.919376782   -0.624775544
     1       2     0.11775     0.47102     0.11775   -0.162786187   -0.788150556   -0.625364369
     1       2     0.11481     0.45924     0.11481   -0.027199672   -0.652954535   -0.625754863
     1       2     0.11187     0.44747     0.11187    0.111728045   -0.513515502   -0.625243547
     1       2     0.10892     0.43569     0.10892    0.253675858   -0.369261150   -0.622937007
     1       2     0.10598     0.42392     0.10598    0.398585534   -0.220120714   -0.618706247
     1       2     0.10304     0.41214     0.10304    0.546238298   -0.066869193   -0.613107491
     1       2     0.10009     0.40037     0.10009    0.696350335    0.087858208   -0.608492126
     1       2     0.09715     0.38859     0.09715    0.849304975    0.245322051   -0.603982924
     1       2     0.09420     0.37681     0.09420    1.004773805    0.406194839   -0.598578966
     1       2     0.09126     0.36504     0.09126    1.162638161    0.570521674   -0.592116488
