energy epsilon1 epsilon2
5.59 -0.04341121773941293 0.0
5.62 -0.042828459628233895 0.0
5.65 -0.04225556833311672 0.0
5.68 -0.04169229264473178 0.0
5.71 -0.04113838937061572 0.0
5.74 -0.04059362300008623 0.0
5.77 -0.040057765386349455 0.0
5.8 -0.03953059544471013 0.0
5.83 -0.03901189886587727 0.0
5.86 -0.038501467843433286 0.0
5.89 -0.03799910081460364 0.0
5.92 -0.03750460221352471 0.0
5.95 -0.03701778223626681 0.0
5.98 -0.036538456616920706 0.0
6.01 -0.03606644641410357 0.0
6.04 -0.035601577807285845 0.0
6.07 -0.03514368190237956 0.0
6.1 -0.03469259454606734 0.0
6.13 -0.034248156148383856 0.0
6.16 -0.0338102115130959 0.0
6.19 -0.03337860967545342 0.0
6.22 -0.032953203746913975 0.0
6.25 -0.032533850766464825 0.0
6.28 -0.032120411558193895 0.0
6.31 -0.03171275059477825 0.0
6.34 -0.031310735866581625 0.0
6.37 -0.030914238756069898 0.0
6.4 -0.030523133917269886 0.0
6.43 -0.03013729916001484 0.0
6.46 -0.02975661533873163 0.0
6.49 -0.02938096624554215 0.0
6.52 -0.02901023850746099 0.0
6.55 -0.028644321487485688 0.0
6.58 -0.028283107189385936 0.0
6.61 -0.02792649016600836 0.0
6.64 -0.027574367430924774 0.0
6.67 -0.02722663837325801 0.0
6.7 -0.026883204675531305 0.0
6.73 -0.026543970234392526 0.0
6.76 -0.026208841084073037 0.0
6.79 -0.02587772532244761 0.0
6.82 -0.025550533039568796 0.0
6.85 -0.025227176248554563 0.0
6.88 -0.024907568818713272 0.0
6.91 -0.02459162641079745 0.0
6.94 -0.024279266414279632 0.0
6.97 -0.023970407886550953 0.0
7.0 -0.023664971493945575 0.0
7.03 -0.023362879454499594 0.0
7.06 -0.023064055482354923 0.0
7.09 -0.022768424733724486 0.0
7.12 -0.022475913754336142 0.0
7.15 -0.022186450428276897 0.0
7.18 -0.021899963928162108 0.0
7.21 -0.021616384666555237 0.0
7.24 -0.02133564424856877 0.0
7.27 -0.021057675425576336 0.0
7.3 -0.0207824120499702 0.0
7.33 -0.02050978903089872 0.0
7.36 -0.02023974229092104 0.0
7.39 -0.01997220872351708 0.0
7.42 -0.01970712615139245 0.0
7.45 -0.019444433285519352 0.0
7.48 -0.019184069684855032 0.0
7.51 -0.018925975716680414 0.0
7.54 -0.01867009251750286 0.0
7.57 -0.018416361954466002 0.0
7.6 -0.018164726587211986 0.0
7.63 -0.017915129630140268 0.0
7.66 -0.01766751491500711 0.0
7.69 -0.017421826853811582 0.0
7.72 -0.01717801040191111 0.0
7.75 -0.0169360110213114 0.0
7.78 -0.016695774644073874 0.0
7.81 -0.01645724763578295 0.0
7.84 -0.01622037675901569 0.0
7.87 -0.015985109136753082 0.0
7.9 -0.015751392215673985 0.0
7.93 -0.01551917372926786 0.0
7.96 -0.01528840166070334 0.0
7.99 -0.01505902420538631 0.0
8.02 -0.014830989733139293 0.0
8.05 -0.014604246749931653 0.0
8.08 -0.014378743859087136 0.0
