energy epsilon1 epsilon2
1.04 2.153877733953921 5.8848795771821e-06
1.05 2.1559977008573368 3.466734780573e-07
1.06 2.1581291484486447 5.5461523172285e-05
1.07 2.1603192688816173 3.8830890918127e-06
1.08 2.162585086518552 3.9856203192656e-05
1.09 2.1649176999092323 1.8016871709067e-05
1.1 2.16736318450073 1.8157586090113e-05
1.11 2.169854799611319 0.0001762746618741
1.12 2.1722412168673015 0.00042611953893104
1.13 2.1747872065595337 4.5702983935149e-05
1.14 2.177616760597958 2.3319923896343e-05
1.15 2.18051979431671 4.379472988033e-05
1.16 2.1835491426799973 1.9928274439951e-05
1.17 2.186766362509768 6.1638404086643e-06
1.18 2.1902434424705373 1.457849933107e-07
1.19 2.194229735037589 1.4223697021666e-05
1.2 2.198360625360898 0.0016115949855823
1.21 2.20001728430709 0.0062867006028948
1.22 2.201448109534033 0.00285884436761
1.23 2.2055161972473005 0.0011341754748446
1.24 2.2109263317690635 0.00010018208453132
1.25 2.2148154563193323 0.0042109973568354
1.26 2.218729071497532 0.00079657840062883
1.27 2.2246693965616813 0.0016241535917291
1.28 2.2296817289851942 0.0039036917604822
1.29 2.233039886158554 0.005974288893796
1.3 2.237870725396553 0.0016630450698981
1.31 2.2457023713710305 0.0005103318139523
1.32 2.2545923401374726 0.00086437730444984
1.33 2.2623938716772223 0.0050299177386076
1.34 2.2717330883019713 0.0017981417816306
1.35 2.2882110524209267 0.00012756557896896
1.36 2.3035566917779775 0.0184825581628
1.37 2.3292595875934303 0.018673924316187
1.38 2.2864844954001553 0.16940488289513
1.39 2.2420029510541446 0.024112649076226
1.4 2.2728737522775813 0.010866291926509
1.41 2.2971223322760697 0.0049620731239132
1.42 2.320935174464603 0.0049736272348091
1.43 2.34968127483428 0.0039075780059922
1.44 2.3705483763066577 0.035407382063708
1.45 2.4104108787098277 0.0081199886190152
1.46 2.4104068956194844 0.14732543554406
1.47 2.4272747902975254 0.031116577089877
1.48 2.5145613285379214 0.13115443124396
1.49 2.330921512474831 0.57733681700201
1.5 2.205620807934914 0.014648233004667
1.51 2.356646978379218 0.007558201515991
1.52 2.401091357932311 0.12871975970932
1.53 2.4492842249114406 0.014967797371424
1.54 2.618496539563417 0.017168412133765
1.55 2.5278297852162828 0.58250559848908
1.56 2.4666310004636385 0.054380428069638
1.57 2.8311606693015756 0.03515840174537
1.58 2.5736237526210903 1.3574280896909
1.59 2.3322461302400748 0.22221598451557
1.6 2.655591051487168 0.61516183183648
1.61 2.0954149164247804 1.9135737114213
1.62 1.482302718834083 0.63086233009321
1.63 1.7332666351717414 0.0036887258090146
1.64 2.0073103211738337 0.21460341696552
1.65 1.9993373284438873 0.39571900200789
1.66 2.032589147245378 0.15705309571237
1.67 2.0663365128042024 0.38817968599411
1.68 2.2518066564400203 0.026883590712413
1.69 1.9718668047038654 1.3355402070571
1.7 1.5468463166971222 0.22446315431803
1.71 1.7423304737938812 8.2691775638853e-05
1.72 1.9031397876666052 6.1474760200052e-05
1.73 2.0272997059253397 3.7619495203813e-05
1.74 2.13198086952906 0.11420620988774
1.75 2.0255230617091713 0.47896996148168
1.76 1.8540202988277448 0.25271055399385
1.77 1.9226072365283848 0.0025238666578743
1.78 1.9280388419333063 0.27002255849763
1.79 1.8814654565686593 0.023151268650198
1.8 1.9488069802311911 0.0018052831936512
1.81 1.9924685009889471 1.5805132145075e-05
1.82 2.0258635127443236 0.00013034885088533
1.83 2.0454406053614336 0.018336528428075
1.84 2.0634914113919987 0.00095977279035197
1.85 2.0949465467533925 0.0001932086256082
1.86 2.11725609658955 0.036594290578374
1.87 2.0913970812065505 0.10017914400948
1.88 2.0841156601280213 0.00045360567648179
1.89 2.1248199893452906 5.2236926662356e-06
1.9 2.168157233789631 0.0015258844483675
1.91 2.1581764373132737 0.11718442841307
1.92 2.152695720031033 0.013116447905057
1.93 2.2436821176974173 0.00059136247230754
1.94 2.1739401972640766 0.35316510980579
1.95 2.0617202541763757 0.10697501571207
1.96 2.067399085383419 0.1074226530316
1.97 2.092021441189132 0.0019779067018685
1.98 2.127604979975018 0.048095354987298
1.99 2.15586844213878 0.00075141533628168
2.0 2.205230721444452 0.036094125651023
2.01 2.181128631844182 0.16361266708404
2.02 2.154220144094041 0.067838751108652
2.03 2.183467614053673 0.079273110259731
2.04 2.1991478948245273 0.12221643856909
2.05 2.106268148919915 0.28562528223163
2.06 2.0637271467293465 0.0019961227749568
2.07 2.155403130392538 0.0017862765750374
2.08 2.1621516919392074 0.12001751914729
2.09 2.1721958818465605 0.0079174173078519
2.1 2.28135256586173 0.020146168301323
2.11 2.130175626150039 0.52448674672984
2.12 1.9763209510136435 0.016266288504551
2.13 2.0681030151020536 0.00017888409287933
2.14 2.110417024489267 7.2816026634958e-08
2.15 2.136545901776489 2.4263010165965e-05
2.16 2.156582055226332 7.3383864916345e-05
2.17 2.173967266719704 0.0002988825579781
2.18 2.190370726253901 0.00058467003209889
2.19 2.2070807787158686 0.00074786729794977
2.2 2.2261289051619584 1.2087495669476e-06
2.21 2.2503041118236635 1.5638540688758e-05
2.22 2.2866695073202616 1.1698044361186e-05
2.23 2.3553531395128453 0.013636096420423
