# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       2     0.14337     0.05421     0.10021  -19.343342195  -26.694503601   -7.351161407
     1       2     0.13902     0.05257     0.09717  -19.330376904  -26.681454699   -7.351077796
     1       2     0.13468     0.05092     0.09413  -19.317200556  -26.667959188   -7.350758633
     1       2     0.13033     0.04928     0.09110  -19.303969319  -26.653409777   -7.349440458
     1       2     0.12599     0.04764     0.08806  -19.290699558  -26.637211333   -7.346511775
     1       2     0.12164     0.04600     0.08502  -19.277373962  -26.619604730   -7.342230768
     1       2     0.11730     0.04435     0.08199  -19.263928334  -26.601181952   -7.337253618
     1       2     0.11296     0.04271     0.07895  -19.250574820  -26.582703557   -7.332128737
     1       2     0.10861     0.04107     0.07591  -19.237142265  -26.564328541   -7.327186276
     1       2     0.10427     0.03942     0.07288  -19.223576750  -26.546199742   -7.322622992
     1       2     0.09992     0.03778     0.06984  -19.210296779  -26.528895024   -7.318598245
     1       2     0.09558     0.03614     0.06681  -19.197129921  -26.512443913   -7.315313992
     1       2     0.09123     0.03450     0.06377  -19.184386272  -26.497400885   -7.313014613
     1       2     0.08689     0.03285     0.06073  -19.171422866  -26.483295069   -7.311872203
     1       2     0.08254     0.03121     0.05770  -19.158319167  -26.470028436   -7.311709269
     1       2     0.07820     0.02957     0.05466  -19.145619600  -26.457549681   -7.311930082
     1       2     0.07386     0.02793     0.05162  -19.132855449  -26.444919040   -7.312063591
     1       2     0.06951     0.02628     0.04859  -19.120607744  -26.432644148   -7.312036404
     1       2     0.06517     0.02464     0.04555  -19.108387254  -26.420214849   -7.311827594
     1       2     0.06082     0.02300     0.04251  -19.096726318  -26.407888303   -7.311161985
     1       2     0.05648     0.02136     0.03948  -19.085146371  -26.394471957   -7.309325585
     1       2     0.05213     0.01971     0.03644  -19.074301641  -26.380475756   -7.306174116
     1       2     0.04779     0.01807     0.03340  -19.063955695  -26.366210817   -7.302255121
     1       2     0.04344     0.01643     0.03037  -19.054108119  -26.352329155   -7.298221036
     1       2     0.03910     0.01478     0.02733  -19.044766757  -26.339293974   -7.294527216
     1       2     0.03476     0.01314     0.02429  -19.036315471  -26.327747474   -7.291432003
     1       2     0.03041     0.01150     0.02126  -19.028511462  -26.318487839   -7.289976377
     1       2     0.02607     0.00986     0.01822  -19.027647712  -26.339668708   -7.312020996
     1       2     0.02172     0.00821     0.01518  -19.027156247  -26.340203884   -7.313047637
     1       2     0.01738     0.00657     0.01215  -19.026984214  -26.341110311   -7.314126098
     1       2     0.01303     0.00493     0.00911  -19.026917109  -26.341907145   -7.314990036
     1       2     0.00869     0.00329     0.00607  -19.026456719  -26.341925706   -7.315468987
     1       2     0.00434     0.00164     0.00304  -19.025414389  -26.341085479   -7.315671091
     1       2     0.00000     0.00000     0.00000  -19.024885088  -26.340621806   -7.315736718
     1       2     0.00434     0.00629     0.00607  -19.026304424  -26.341903863   -7.315599439
     1       2     0.00869     0.01257     0.01215  -19.025917242  -26.340947552   -7.315030309
     1       2     0.01303     0.01886     0.01822  -19.025000127  -26.337240909   -7.312240782
     1       2     0.01738     0.02515     0.02429  -19.028426934  -26.322592086   -7.294165151
     1       2     0.02172     0.03144     0.03037  -19.040080827  -26.331466376   -7.291385549
     1       2     0.02607     0.03772     0.03644  -19.054975631  -26.353218577   -7.298242946
     1       2     0.03041     0.04401     0.04251  -19.071472109  -26.374857104   -7.303384995
     1       2     0.03476     0.05030     0.04859  -19.089389080  -26.393418846   -7.304029766
     1       2     0.03910     0.05659     0.05466  -19.108220786  -26.412048059   -7.303827273
     1       2     0.04344     0.06287     0.06073  -19.128033853  -26.432160956   -7.304127103
     1       2     0.04779     0.06916     0.06681  -19.147772404  -26.458082973   -7.310310569
     1       2     0.05213     0.07545     0.07288  -19.168491368  -26.489618000   -7.321126632
     1       2     0.05648     0.08174     0.07895  -19.189511067  -26.519609760   -7.330098693
     1       2     0.06082     0.08802     0.08502  -19.210967244  -26.545654956   -7.334687713
     1       2     0.06517     0.09431     0.09110  -19.232294137  -26.568437261   -7.336143124
     1       2     0.06951     0.10060     0.09717  -19.253647755  -26.590237576   -7.336589821
     1       2     0.07386     0.10688     0.10324  -19.275065867  -26.611716404   -7.336650538
     1       2     0.07820     0.11317     0.10932  -19.295962591  -26.632326450   -7.336363859
     1       2     0.08254     0.11946     0.11539  -19.317049644  -26.652942291   -7.335892646
     1       2     0.08689     0.12575     0.12146  -19.337583027  -26.674102264   -7.336519237
     1       2     0.09123     0.13203     0.12754  -19.357902064  -26.698681312   -7.340779248
     1       2     0.09558     0.13832     0.13361  -19.377470179  -26.727539005   -7.350068827
     1       2     0.09992     0.14461     0.13968  -19.396854791  -26.757169478   -7.360314686
     1       2     0.10427     0.15090     0.14576  -19.415531775  -26.779480976   -7.363949202
     1       2     0.10861     0.15718     0.15183  -19.434353104  -26.798490832   -7.364137728
     1       2     0.11296     0.16347     0.15790  -19.452403626  -26.816426915   -7.364023289
     1       2     0.11730     0.16976     0.16398  -19.469838962  -26.835708804   -7.365869841
     1       2     0.12164     0.17605     0.17005  -19.486774638  -26.860356883   -7.373582244
     1       2     0.12599     0.18233     0.17612  -19.503344683  -26.886158443   -7.382813759
     1       2     0.13033     0.18862     0.18220  -19.519181345  -26.908150103   -7.388968758
     1       2     0.13468     0.19491     0.18827  -19.534290129  -26.925800771   -7.391510642
     1       2     0.13902     0.20119     0.19434  -19.548613835  -26.940797186   -7.392183351
     1       2     0.14337     0.20748     0.20042  -19.562201183  -26.954343778   -7.392142595
     1       2     0.14771     0.21377     0.20649  -19.550553965  -26.933431434   -7.382877468
     1       2     0.15206     0.22006     0.21256  -19.538970702  -26.921190419   -7.382219717
     1       2     0.15640     0.22634     0.21863  -19.529332640  -26.910035325   -7.380702685
     1       2     0.16074     0.23263     0.22471  -19.521000108  -26.898838775   -7.377838667
     1       2     0.16509     0.23892     0.23078  -19.514379775  -26.888825453   -7.374445679
     1       2     0.16943     0.24521     0.23685  -19.509044336  -26.881720672   -7.372676336
     1       2     0.17378     0.25149     0.24293  -19.505073990  -26.878410772   -7.373336781
     1       2     0.17812     0.25778     0.24900  -19.502042194  -26.876135571   -7.374093377
     1       2     0.18247     0.26407     0.25507  -19.500144161  -26.874333157   -7.374188996
     1       2     0.18681     0.27036     0.26115  -19.499003058  -26.872748937   -7.373745878
     1       2     0.19116     0.27664     0.26722  -19.498386476  -26.870905998   -7.372519522
     1       2     0.19550     0.28293     0.27329  -19.497926887  -26.870197244   -7.372270357
     1       2     0.19984     0.28922     0.27937  -19.497738938  -26.871468538   -7.373729600
     1       2     0.20419     0.29551     0.28544  -19.497660554  -26.873205034   -7.375544480
